3.8548,3.8399,3.8251,3.8104,3.7958,3.7813,3.767,3.7527,3.7386,3.7246,3.7107,3.6969,3.6832,3.6696,3.6561,3.6428,3.6295,3.6163,3.6032,3.5903,3.5774,3.5646,3.5519,3.5393,3.5268,3.5144,3.502,3.4898,3.4776,3.4656,3.4536,3.4417,3.4299,3.4182,3.4065,3.395,3.3835,3.3721,3.3608,3.3495,3.3384
3.9946,3.9791,3.9637,3.9485,3.9333,3.9183,3.9034,3.8887,3.874,3.8595,3.845,3.8307,3.8165,3.8024,3.7884,3.7745,3.7608,3.7471,3.7335,3.7201,3.7067,3.6934,3.6803,3.6672,3.6542,3.6413,3.6285,3.6158,3.6032,3.5907,3.5783,3.566,3.5537,3.5415,3.5295,3.5175,3.5056,3.4937,3.482,3.4703,3.4587
4.1345,4.1185,4.1025,4.0867,4.071,4.0555,4.04,4.0247,4.0095,3.9945,3.9795,3.9647,3.9499,3.9353,3.9208,3.9064,3.8922,3.878,3.8639,3.85,3.8361,3.8224,3.8087,3.7952,3.7817,3.7684,3.7551,3.742,3.7289,3.7159,3.7031,3.6903,3.6776,3.665,3.6525,3.6401,3.6277,3.6155,3.6033,3.5912,3.5792
4.2746,4.258,4.2415,4.2251,4.2089,4.1928,4.1768,4.1609,4.1452,4.1296,4.1141,4.0987,4.0835,4.0684,4.0534,4.0385,4.0237,4.009,3.9945,3.98,3.9657,3.9514,3.9373,3.9233,3.9094,3.8955,3.8818,3.8682,3.8547,3.8413,3.828,3.8147,3.8016,3.7885,3.7756,3.7627,3.75,3.7373,3.7247,3.7122,3.6998
4.4149,4.3977,4.3806,4.3636,4.3468,4.3302,4.3136,4.2972,4.281,4.2648,4.2488,4.2329,4.2172,4.2015,4.186,4.1706,4.1553,4.1401,4.1251,4.1101,4.0953,4.0806,4.066,4.0515,4.0371,4.0228,4.0086,3.9946,3.9806,3.9667,3.9529,3.9393,3.9257,3.9122,3.8988,3.8855,3.8723,3.8592,3.8462,3.8333,3.8204
4.5553,4.5375,4.5198,4.5023,4.485,4.4677,4.4507,4.4337,4.4169,4.4002,4.3837,4.3673,4.351,4.3348,4.3188,4.3028,4.2871,4.2714,4.2558,4.2404,4.2251,4.2099,4.1948,4.1798,4.1649,4.1502,4.1355,4.121,4.1066,4.0922,4.078,4.0639,4.0498,4.0359,4.0221,4.0084,3.9947,3.9812,3.9678,3.9544,3.9412
4.6958,4.6774,4.6592,4.6412,4.6232,4.6054,4.5878,4.5703,4.553,4.5357,4.5187,4.5017,4.4849,4.4682,4.4517,4.4352,4.4189,4.4027,4.3867,4.3708,4.355,4.3393,4.3237,4.3082,4.2929,4.2777,4.2625,4.2475,4.2326,4.2178,4.2032,4.1886,4.1741,4.1597,4.1455,4.1313,4.1172,4.1033,4.0894,4.0756,4.062
4.8365,4.8176,4.7988,4.7801,4.7616,4.7433,4.7251,4.707,4.6891,4.6714,4.6538,4.6363,4.6189,4.6017,4.5847,4.5677,4.5509,4.5342,4.5177,4.5012,4.4849,4.4688,4.4527,4.4368,4.4209,4.4052,4.3896,4.3742,4.3588,4.3436,4.3284,4.3134,4.2985,4.2837,4.269,4.2543,4.2398,4.2254,4.2111,4.197,4.1829
4.9774,4.9578,4.9385,4.9192,4.9002,4.8813,4.8625,4.8439,4.8255,4.8072,4.789,4.771,4.7531,4.7354,4.7178,4.7003,4.683,4.6658,4.6488,4.6318,4.615,4.5984,4.5818,4.5654,4.5491,4.5329,4.5169,4.5009,4.4851,4.4694,4.4538,4.4383,4.4229,4.4077,4.3925,4.3775,4.3625,4.3477,4.333,4.3183,4.3038
5.1184,5.0983,5.0783,5.0585,5.0389,5.0194,5.0001,4.9809,4.9619,4.9431,4.9244,4.9058,4.8874,4.8692,4.851,4.8331,4.8152,4.7975,4.78,4.7625,4.7452,4.7281,4.711,4.6941,4.6773,4.6607,4.6442,4.6277,4.6115,4.5953,4.5792,4.5633,4.5475,4.5318,4.5162,4.5007,4.4853,4.47,4.4549,4.4398,4.4249
